keywords,tokens
indo pacific red lionfish,['indo' 'lionfish' 'pacif' 'red']
indochina peninsula,['peninsula']
indonesia climate change sectoral roadmap,['climat' 'roadmap' 'sector']
indonesian government,['govern']
indoor air quality,['air' 'indoor']
indoor allergens,['allergen' 'indoor']
indoor environment,['environ' 'indoor']
indoor temperatures,['indoor']
inductive reasoning,['induct' 'reason']
indus river,['indus' 'river']
indus river basin,['basin' 'indus' 'river']
indus river system,['indus' 'river']
industrial,['industri']
industrial activities,['activ' 'industri']
industrial agricultural producers,['industri' 'produc']
industrial coal,['coal' 'industri']
industrial ecology,['ecolog' 'industri']
industrial liquids,['industri' 'liquid']
industrial needs,['industri' 'need']
industrial revolution,['industri']
industrial strategy,['industri' 'strategi']
industrial systems,['industri' 'system']
industrial transformation,['industri' 'transform']
industrial waste,['industri' 'wast']
industrial water,['industri' 'water']
industrialised countries,['countri' 'industrialis']
industrialization,['industri']
industries,['industri']
industry,['industri']
industry actions and policies,['action' 'industri' 'polici']
industry analysis,['industri']
industry associations,['industri']
industry development,['develop' 'industri']
inefficiencies,['ineffici']
inefficient irrigation systems,['ineffici' 'irrig' 'system']
inequitable access,['access']
inertia,['inertia']
inexact energy model,['inexact' 'model']
inexact energy model iem,['iem' 'inexact' 'model']
infant mortality,['infant' 'mortal']
infections,['infect']
inference,['infer']
inferences regarding the future,['futur' 'infer' 'regard']
infiltration measurement,['measur']
infinite divergences,['infinit']
inflection points,['inflect' 'point']
influence diagrams,['diagram' 'influenc']
influential authors,['author' 'influenti']
info gap decision theory,['decis' 'gap' 'info']
infocrop,['infocrop']
infocrop rice model,['infocrop' 'model' 'rice']
inform risk index,['index' 'inform' 'risk']
informal partnerships,['inform' 'partnership']
informal policy networks,['inform' 'network' 'polici']
informal processes,['inform' 'process']
informal settlement,['inform' 'settlement']
information,['inform']
information & communication,['inform']
information access,['access' 'inform']
information and communication,['inform']
information and communications technologies,['inform' 'technolog']
information coordination,['coordin' 'inform']
information dissemination,['dissemin' 'inform']
information ecosystems,['ecosystem' 'inform']
information enrichment chain,['chain' 'enrich' 'inform']
information exchange,['inform']
information flows,['flow' 'inform']
information gaps,['gap' 'inform']
information infrastructure,['inform' 'infrastructur']
information limitations,['inform' 'limit']
information management,['inform' 'manag']
information needs,['inform' 'need']
information needs of policy makers,['inform' 'maker' 'need' 'polici']
information networks,['inform' 'network']
information on climate change,['climat' 'inform']
information praxis,['inform']
information production,['inform' 'product']
information sharing,['inform' 'share']
information systems,['inform' 'system']
information technologies,['inform' 'technolog']
information technology,['inform' 'technolog']
information theoretic ideas,['idea' 'inform' 'theoret']
information theory,['inform']
informational,['inform']
informational bottlenecks,['bottleneck' 'inform']
informative scenarios,['inform' 'scenario']
informed choices,['inform']
informed decision making,['decis' 'inform' 'make']
informed management decisions,['decis' 'inform' 'manag']
infrastructural,['infrastructur']
infrastructural & institutional factors,['factor' 'infrastructur' 'institut']
infrastructural and policy responses,['infrastructur' 'polici' 'respons']
infrastructural costs,['cost' 'infrastructur']
infrastructural development,['develop' 'infrastructur']
infrastructural indicators,['infrastructur']
infrastructural networks,['infrastructur' 'network']
infrastructural works,['infrastructur' 'work']
infrastructure,['infrastructur']
infrastructure access,['access' 'infrastructur']
infrastructure adaptation,['adapt' 'infrastructur']
infrastructure age,['age' 'infrastructur']
infrastructure and human settlements,['human' 'infrastructur' 'settlement']
infrastructure assets,['asset' 'infrastructur']
infrastructure constraints,['constraint' 'infrastructur']
infrastructure cost,['cost' 'infrastructur']
infrastructure costs,['cost' 'infrastructur']
infrastructure damage,['infrastructur']
infrastructure dependencies,['depend' 'infrastructur']
infrastructure design,['design' 'infrastructur']
infrastructure development,['develop' 'infrastructur']
infrastructure development bank of zimbabwe idbz,['bank' 'develop' 'idbz' 'infrastructur' 'zimbabw']
infrastructure investment,['infrastructur' 'invest']
infrastructure models,['infrastructur' 'model']
infrastructure options,['infrastructur' 'option']
infrastructure planning,['infrastructur' 'plan']
infrastructure projects,['infrastructur' 'project']
infrastructure re operations,['infrastructur' 'oper']
infrastructure removal,['infrastructur']
infrastructure repair,['infrastructur' 'repair']
infrastructure resilience,['infrastructur' 'resili']
infrastructure scenarios,['infrastructur' 'scenario']
infrastructure sectors,['infrastructur' 'sector']
infrastructure service,['infrastructur' 'servic']
infrastructure services,['infrastructur' 'servic']
infrastructure solutions,['infrastructur']
infrastructure supports,['infrastructur' 'support']
infrastructure system,['infrastructur']
infrastructure systems,['infrastructur' 'system']
infrastructure tool crait,['infrastructur' 'tool']
infrastructures,['infrastructur']
initial condition ensembles,['condit' 'ensembl']
initial conditions,['condit']
inland empire utilities agency,['agenc' 'inland' 'util']
inland flooding,['flood' 'inland']
inland transgression,['inland' 'transgress']
inland waterways,['inland' 'waterway']
inner delta,['delta' 'inner']
inner mongolia,['inner']
innovation dividend,['dividend']
innovative adaptation,['adapt']
innovative adaptive approaches,['adapt' 'approach']
innovative building design,['build' 'design']
innovative government mechanisms,['govern']
innovative management,['manag']
innovative personality,['person']
innovative technologies,['technolog']
innovative water supply,['suppli' 'water']
innsbruck,['innsbruck']
input adjustment,['adjust' 'input']
input data,['data' 'input']
input data quality,['data' 'input']
input data quality control,['control' 'data' 'input']
input data uncertainty,['data' 'input']
input efficiency,['effici' 'input']
input markets,['input' 'market']
input output analysis,['input' 'output']
input output estimation,['estim' 'input' 'output']
input output modeling,['input' 'model' 'output']
input output relations,['input' 'output' 'relat']
input use,['input' 'use']
inputs,['input']
insect infestations,['infest' 'insect']
insect management,['insect' 'manag']
insect outbreaks,['insect' 'outbreak']
insect populations,['insect' 'popul']
insects and diseases,['insect']
insights,['insight']
inspection,['inspect']
installed capacities,['capac' 'instal']
installed capacity,['capac' 'instal']
institut pierre simon laplace ipsl,['institut' 'ipsl' 'laplac' 'pierr']
institution,['institut']
institutional,['institut']
institutional adaptation,['adapt' 'institut']
institutional adaptation policy,['adapt' 'institut' 'polici']
institutional analysis and development framework,['develop' 'framework' 'institut']
institutional and policy oriented,['institut' 'orient' 'polici']
institutional and regulatory quality,['institut' 'regulatori']
institutional arrangements,['institut']
institutional barriers,['barrier' 'institut']
institutional bodies,['bodi' 'institut']
institutional capabilities,['capabl' 'institut']
institutional capacities,['capac' 'institut']
institutional capacity,['capac' 'institut']
institutional change,['institut']
institutional characteristics,['institut']
institutional collaboration,['institut']
institutional compatibility,['compat' 'institut']
institutional complexity,['complex' 'institut']
institutional conditions,['condit' 'institut']
institutional constraints,['constraint' 'institut']
institutional context,['context' 'institut']
institutional controls,['control' 'institut']
institutional coordination,['coordin' 'institut']
institutional cultural contexts,['context' 'institut']
institutional decision making,['decis' 'institut' 'make']
institutional design,['design' 'institut']
institutional development,['develop' 'institut']
institutional difficulties,['institut']
institutional dimensions,['institut']
institutional facilities,['facil' 'institut']
institutional factors,['factor' 'institut']
institutional failures,['institut']
institutional fit,['fit' 'institut']
institutional flexibility,['institut']
institutional framework,['framework' 'institut']
institutional inertia,['inertia' 'institut']
institutional innovations,['institut']
institutional integration,['institut' 'integr']
institutional interventions,['institut' 'intervent']
institutional leaders,['institut' 'leader']
institutional limitations,['institut' 'limit']
institutional mandates,['institut' 'mandat']
institutional navigation framework,['framework' 'institut']
institutional obstacles,['institut' 'obstacl']
institutional path dependence,['depend' 'institut' 'path']
institutional path dependency,['depend' 'institut' 'path']
institutional policies,['institut' 'polici']
institutional policy frameworks,['framework' 'institut' 'polici']
institutional prioritizing,['institut']
institutional processes,['institut' 'process']
institutional provisions,['institut' 'provis']
institutional readiness,['institut' 'readi']
institutional reform,['institut' 'reform']
institutional reforms,['institut' 'reform']
institutional representation,['institut' 'represent']
institutional responses,['institut' 'respons']
institutional risk,['institut' 'risk']
institutional set up,['institut' 'set']
institutional setting,['institut' 'set']
institutional settings,['institut' 'set']
institutional setup,['institut' 'setup']
institutional setup for climate change adaptation,['adapt' 'climat' 'institut' 'setup']
institutional stakeholders,['institut' 'stakehold']
institutional strategies,['institut' 'strategi']
institutional structure,['institut' 'structur']
institutional structures,['institut' 'structur']
institutional support,['institut' 'support']
institutional supports,['institut' 'support']
institutional thought,['institut' 'thought']
institutional transformation,['institut' 'transform']
institutional transformations,['institut' 'transform']
institutional traps,['institut' 'trap']
institutionalised,['institutionalis']
institutionalization,['institution']
institutionalized agency response,['agenc' 'institution' 'respons']
institutionalized government policies,['govern' 'institution' 'polici']
institutionally complex river basins,['basin' 'complex' 'institut' 'river']
institutions,['institut']
institutions for adaptation,['adapt' 'institut']
institutions' emerging policies,['emerg' 'institut' 'polici']
instrumentation,['instrument']
instruments,['instrument']
insurance concepts,['concept']
insurance incentives,['incent']
insurance measures,['measur']
insurance modelling,['model']
insurance policies,['polici']
insurance products,['product']
insurance records,['record']
insurance schemes,['scheme']
insurance sector,['sector']
insurance uptake,['uptak']
insurance values,['valu']
intact forests,['forest' 'intact']
intactness,['intact']
integer programming,['program']
integrality constraints,['constraint' 'integr']
integrate local adaptation strategies,['adapt' 'integr' 'local' 'strategi']
integrated,['integr']
integrated adaptation strategy,['adapt' 'integr' 'strategi']
integrated analysis,['integr']
integrated approach,['approach' 'integr']
integrated approaches,['approach' 'integr']
integrated assessment,['assess' 'integr']
integrated assessment framework,['assess' 'framework' 'integr']
integrated assessment frameworks,['assess' 'framework' 'integr']
integrated assessment meta model,['assess' 'integr' 'meta' 'model']
integrated assessment model,['assess' 'integr' 'model']
integrated assessment model gains south asia,['assess' 'gain' 'integr' 'model' 'south']
integrated assessment modelers,['assess' 'integr' 'model']
integrated assessment modeling,['assess' 'integr' 'model']
integrated assessment models,['assess' 'integr' 'model']
integrated assessment models iams,['assess' 'iam' 'integr' 'model']
integrated assessment platform,['assess' 'integr' 'platform']
integrated assessment platform iap,['assess' 'iap' 'integr' 'platform']
integrated assessments,['assess' 'integr']
integrated carbon observation system,['carbon' 'integr' 'observ']
integrated catchment management,['catchment' 'integr' 'manag']
integrated catchment modelling,['catchment' 'integr' 'model']
integrated climate and land use scenarios iclus,['climat' 'iclus' 'integr' 'land' 'scenario' 'use']
integrated climate economy modeling,['climat' 'economi' 'integr' 'model']
integrated climate governance,['climat' 'govern' 'integr']
integrated climate risk analyses,['analys' 'climat' 'integr' 'risk']
integrated climate risk assessment,['assess' 'climat' 'integr' 'risk']
integrated coastal management,['coastal' 'integr' 'manag']
integrated coastal management icm,['coastal' 'integr' 'manag']
integrated coastal zone management,['coastal' 'integr' 'manag' 'zone']
integrated continuum,['continuum' 'integr']
integrated cooperation,['cooper' 'integr']
integrated crop livestock systems,['crop' 'integr' 'livestock' 'system']
integrated crop management,['crop' 'integr' 'manag']
integrated deepwater system,['integr']
integrated deltaic risk index idri,['index' 'integr' 'risk']
integrated design and assessment,['assess' 'design' 'integr']
integrated development framework,['develop' 'framework' 'integr']
integrated development planning,['develop' 'integr' 'plan']
integrated drought management programme,['drought' 'integr' 'manag' 'programm']
integrated earth observation systems,['earth' 'integr' 'observ' 'system']
integrated earth system,['earth' 'integr']
integrated economic and climate projections,['climat' 'integr' 'project']
integrated economic approaches,['approach' 'integr']
integrated empirical optimization model,['integr' 'model']
integrated energy water land systems,['integr' 'land' 'system' 'water']
integrated environmental analysis,['environment' 'integr']
integrated farming,['farm' 'integr']
integrated flexible infrastructure systems,['infrastructur' 'integr' 'system']
integrated framework,['framework' 'integr']
integrated global system model igsm,['global' 'igsm' 'integr' 'model']
integrated governance approaches,['approach' 'govern' 'integr']
integrated human environmental systems model,['environment' 'human' 'integr' 'model' 'system']
integrated hydro economic model,['hydro' 'integr' 'model']
integrated hydrologic model,['integr' 'model']
integrated impact assessments,['assess' 'impact' 'integr']
integrated impact measures,['impact' 'integr' 'measur']
integrated land and water planning,['integr' 'land' 'plan' 'water']
integrated land use model,['integr' 'land' 'model' 'use']
integrated land use modelling,['integr' 'land' 'model' 'use']
integrated livelihoods,['integr' 'livelihood']
integrated management,['integr' 'manag']
integrated methods,['integr' 'method']
integrated model,['integr' 'model']
integrated model to assess the global environment,['assess' 'environ' 'global' 'integr' 'model']
integrated modeling,['integr' 'model']
integrated modeling framework,['framework' 'integr' 'model']
integrated modeling system ims,['im' 'integr' 'model']
integrated modelling,['integr' 'model']
integrated modelling framework,['framework' 'integr' 'model']
integrated modelling frameworks,['framework' 'integr' 'model']
integrated models,['integr' 'model']
integrated multi sector analysis,['integr' 'multi' 'sector']
integrated national strategies,['integr' 'nation' 'strategi']
integrated nutrient management,['integr' 'manag' 'nutrient']
integrated planning,['integr' 'plan']
integrated platform,['integr' 'platform']
integrated policies,['integr' 'polici']
integrated policy planning,['integr' 'plan' 'polici']
integrated probabilistic framework,['framework' 'integr' 'probabilist']
integrated regional earth system model iresm,['earth' 'integr' 'iresm' 'model' 'region']
integrated regional modeling,['integr' 'model' 'region']
integrated regional policies,['integr' 'polici' 'region']
integrated research agenda,['agenda' 'integr' 'research']
integrated research on disaster reduction,['integr' 'reduct' 'research']
integrated resources management,['integr' 'manag' 'resourc']
integrated scenarios,['integr' 'scenario']
integrated socioeconomic biogeophysical measures,['biogeophys' 'integr' 'measur' 'socioeconom']
integrated solutions,['integr']
integrated spatial planning,['integr' 'plan' 'spatial']
integrated spatially explicit assessments,['assess' 'explicit' 'integr' 'spatial']
integrated surface database,['databas' 'integr']
integrated systems modelling,['integr' 'model' 'system']
integrated tool,['integr' 'tool']
integrated top down approach,['approach' 'integr']
integrated urban adaptation framework,['adapt' 'framework' 'integr' 'urban']
integrated urban water management model,['integr' 'manag' 'model' 'urban' 'water']
integrated water cycle,['integr' 'water']
integrated water flow model,['flow' 'integr' 'model' 'water']
integrated water resource management,['integr' 'manag' 'resourc' 'water']
integrated water resources management,['integr' 'manag' 'resourc' 'water']
integrated watershed management,['integr' 'manag' 'watersh']
integrating,['integr']
integrating renewables,['integr' 'renew']
integrating urban and peri urban agriculture,['integr' 'peri' 'urban']
integration,['integr']
integration framework,['framework' 'integr']
integration of local stakeholders,['integr' 'local' 'stakehold']
integration of renewables,['integr' 'renew']
integration of socio demographic,['demograph' 'integr' 'socio']
integrative approach,['approach' 'integr']
integrity,['integr']
intelligent user interface,['interfac' 'user']
intense category of ar events,['event']
intense hurricanes,['hurrican']
intense precipitation,['precipit']
intense storms,['storm']
intensification,['intensif']
intensification ratio,['intensif' 'ratio']
intent,['intent']
inter  and trans disciplinarity,['inter' 'tran']
inter  and transdisciplinary workshop,['inter' 'workshop']
inter agency efforts,['agenc' 'effort' 'inter']
inter agent interactions,['agent' 'inter' 'interact']
inter annual,['inter']
inter annual climate variability,['climat' 'inter' 'variabl']
inter annual distribution,['inter']
inter annual variability,['inter' 'variabl']
inter basin transfers,['basin' 'inter' 'transfer']
inter basin water transfers,['basin' 'inter' 'transfer' 'water']
inter comparability,['compar' 'inter']
inter dependencies,['depend' 'inter']
inter disciplinarity,['inter']
inter disciplinary networks,['inter' 'network']
inter disciplinary research networks,['inter' 'network' 'research']
inter district inequality,['district' 'inter']
inter generational trade offs,['inter' 'off' 'trade']
inter governmental panel on climate change,['climat' 'government' 'inter' 'panel']
inter governmental panel on climate change ipcc,['climat' 'government' 'inter' 'ipcc' 'panel']
inter institutional partnerships,['institut' 'inter' 'partnership']
inter linkages,['inter']
inter model robustness,['inter' 'model' 'robust']
inter model variations,['inter' 'model' 'variat']
inter policy,['inter' 'polici']
inter provincial electricity transmission,['inter' 'provinci']
inter regional,['inter' 'region']
inter regional cooperation,['cooper' 'inter' 'region']
inter seasonal rainfall,['inter' 'rainfal' 'season']
inter sectoral,['inter' 'sector']
inter sectoral action,['action' 'inter' 'sector']
inter sectoral dynamics,['inter' 'sector']
inter sectoral impact model,['impact' 'inter' 'model' 'sector']
inter specific interactions,['inter' 'interact' 'specif']
inter state electricity trade,['inter' 'state' 'trade']
inter state trade,['inter' 'state' 'trade']
inter temporal complexities,['complex' 'inter']
interacting risks,['interact' 'risk']
interaction,['interact']
interaction based spreading phenomena,['base' 'interact' 'phenomena' 'spread']
interactions,['interact']
interactions between climate drivers,['climat' 'driver' 'interact']
interactive approach,['approach' 'interact']
interactive broadcast media,['broadcast' 'interact' 'media']
interactive interfaces,['interact' 'interfac']
interactive mapping,['interact' 'map']
interactive scenario building,['build' 'interact' 'scenario']
interactive visual analytics,['analyt' 'interact' 'visual']
interagency communication,['interag']
interagency cooperation,['cooper' 'interag']
interannual climate variability,['climat' 'variabl']
interannual precipitation,['precipit']
interannual variability,['variabl']
interannual variations,['variat']
interbasin transfer,['interbasin' 'transfer']
interbasin transfer projects,['interbasin' 'project' 'transfer']
interbasin water transfer,['interbasin' 'transfer' 'water']
intercomparable estimates,['estim' 'intercompar']
intercomparison,['intercomparison']
interconnected infrastructures,['infrastructur' 'interconnect']
interconnected networks,['interconnect' 'network']
interconnected problems,['interconnect' 'problem']
interconnected risks,['interconnect' 'risk']
interconnections,['interconnect']
interconnectivity,['interconnect']
interconnectivity magnitude index,['index' 'interconnect' 'magnitud']
interconnectivity spread index,['index' 'interconnect' 'spread']
interdependence,['interdepend']
interdependencies,['interdepend']
interdependencies across scales,['interdepend' 'scale']
interdependency,['interdepend']
interdependent,['interdepend']
interdependent failure modes,['interdepend' 'mode']
interdependent systems,['interdepend' 'system']
interdisciplinary answers,['answer']
interdisciplinary approach,['approach']
interdisciplinary approaches,['approach']
interdisciplinary consultation,['consult']
interdisciplinary framework,['framework']
interdisciplinary growth,['growth']
interdisciplinary learning,['learn']
interdisciplinary modeling,['model']
interdisciplinary opportunities,['opportun']
interdisciplinary research,['research']
interdisciplinary responses,['respons']
interdisciplinary science,['scienc']
interdisciplinary systems approach,['approach' 'system']
interdisciplinary theory building,['build']
interdisciplinary tools,['tool']
interest in adapting,['adapt']
interfacing constraints,['constraint' 'interfac']
interfacing crop models,['crop' 'interfac' 'model']
intergenerational,['intergener']
intergenerational justice,['intergener' 'justic']
intergovernmental networks,['intergovernment' 'network']
intergovernmental panel for climate change ipcc,['climat' 'intergovernment' 'ipcc' 'panel']
intergovernmental panel on climate change,['climat' 'intergovernment' 'panel']
intergovernmental panel on climate change ipcc,['climat' 'intergovernment' 'ipcc' 'panel']
intergovernmental panel on climate change ipcc ar5,['climat' 'intergovernment' 'ipcc' 'panel']
interlinked,['interlink']
intermediate complexity,['complex' 'intermedi']
intermediate layer experts,['expert' 'intermedi' 'layer']
intermethod comparisons,['comparison']
intermittent interruptions,['intermitt' 'interrupt']
intermittent renewable generation,['intermitt' 'renew']
intermodal transport,['intermod' 'transport']
intermodel relationships,['intermodel' 'relationship']
intermodel variability,['intermodel' 'variabl']
intermountain west,['intermountain' 'west']
internal,['intern']
internal climate variability,['climat' 'intern' 'variabl']
internal variability,['intern' 'variabl']
internalizing cost,['cost' 'intern']
internally displaced persons,['intern' 'person']
internally variability,['intern' 'variabl']
international,['intern']
international adaptation funds,['adapt' 'fund' 'intern']
international agencies,['agenc' 'intern']
international agricultural exports,['export' 'intern']
international agricultural research,['intern' 'research']
international aid,['aid' 'intern']
international border,['border' 'intern']
international climate change framework,['climat' 'framework' 'intern']
international climate change policies,['climat' 'intern' 'polici']
international climate models,['climat' 'intern' 'model']
international co ordination,['intern' 'ordin']
international collaboration,['intern']
international commitment,['commit' 'intern']
international commodity market integration,['commod' 'integr' 'intern' 'market']
international commodity markets,['commod' 'intern' 'market']
international context,['context' 'intern']
international cooperation,['cooper' 'intern']
international cooperative mechanisms,['cooper' 'intern']
international demand for crops,['crop' 'demand' 'intern']
international development,['develop' 'intern']
international development resource centre,['centr' 'develop' 'intern' 'resourc']
international donors,['donor' 'intern']
international economic trade,['intern' 'trade']
international efforts,['effort' 'intern']
international export destinations,['destin' 'export' 'intern']
international exporters,['export' 'intern']
international exports,['export' 'intern']
international food trade,['food' 'intern' 'trade']
international frameworks,['framework' 'intern']
international funding,['fund' 'intern']
international futures ifs model system,['futur' 'if' 'intern' 'model']
international goals,['goal' 'intern']
international institutions,['institut' 'intern']
international investors,['intern' 'investor']
international law,['intern' 'law']
international levels,['intern' 'level']
international markets,['intern' 'market']
international methodologies,['intern']
international migration,['intern']
international organizations,['intern' 'organ']
international panel on climate change,['climat' 'intern' 'panel']
international policies,['intern' 'polici']
international regime,['intern' 'regim']
international relevance,['intern']
international research initiative,['intern' 'research']
international researchers,['intern' 'research']
international scientific community,['communiti' 'intern' 'scientif']
international trade,['intern' 'trade']
international treaties,['intern']
international union for conservation of nature,['intern' 'union']
international waters,['intern' 'water']
internet based practitioners' network,['base' 'internet' 'network' 'practition']
interplay,['interplay']
interpolation techniques,['techniqu']
interpretability,['interpret']
interpreting results,['interpret' 'result']
interregional electricity market,['interregion' 'market']
interregional trade dynamics,['interregion' 'trade']
interrelationship,['interrelationship']
intersectoral adjustments,['adjust' 'intersector']
intersectoral collaboration,['intersector']
intersectoral cooperation,['cooper' 'intersector']
interspecific competition,['interspecif']
interstate conflict,['conflict']
intertemporal optimization,['intertempor']
interurban migratory shocks,['shock']
intervention,['intervent']
intervention measures,['intervent' 'measur']
intervention options,['intervent' 'option']
interventions,['intervent']
interview responses,['interview' 'respons']
interviews,['interview']
intra generational justice,['intra' 'justic']
intra regional dialogue,['dialogu' 'intra' 'region']
intra seasonal,['intra' 'season']
intra seasonal variation,['intra' 'season' 'variat']
intra urban variation,['intra' 'urban' 'variat']
intrinsic motivation,['intrins']
inuit,['inuit']
inuit community,['communiti' 'inuit']
inuit observations,['inuit' 'observ']
inundated coastal areas,['area' 'coastal']
inundated infrastructure,['infrastructur']
inundation mapping,['map']
inundation maps,['map']
inundation risk,['risk']
inundation risk assessment framework,['assess' 'framework' 'risk']
inundation risk reduction,['reduct' 'risk']
inundation risks,['risk']
inundation scenarios,['scenario']
inuvialuit settlement region,['region' 'settlement']
invasive alien species,['alien' 'invas' 'speci']
invasive plants,['invas' 'plant']
invasive species,['invas' 'speci']
invasive species management,['invas' 'manag' 'speci']
inventory,['inventori']
inventory data,['data' 'inventori']
inventory management,['inventori' 'manag']
invertebrates,['invertebr']
invest tool,['invest' 'tool']
investment,['invest']
investment and maintenance costs,['cost' 'invest' 'mainten']
investment community,['communiti' 'invest']
investment cost,['cost' 'invest']
investment costs,['cost' 'invest']
investment decision making,['decis' 'invest' 'make']
investment decisions,['decis' 'invest']
investment delay,['delay' 'invest']
investment expenditure,['invest']
investment flexibility,['invest']
investment in adaptation measures,['adapt' 'invest' 'measur']
investment in farmer education,['educ' 'farmer' 'invest']
investment in interdisciplinary education,['educ' 'invest']
investment in technology,['invest' 'technolog']
investment innovations,['invest']
investment plans,['invest' 'plan']
investment policy,['invest' 'polici']
investment prioritization,['invest']
investment risks,['invest' 'risk']
investment strategies,['invest' 'strategi']
investment tipping points,['invest' 'point' 'tip']
investments,['invest']
investments from asia,['invest']
investor owned utilities,['investor' 'own' 'util']
investors,['investor']
involvement,['involv']
involvement of citizens and government,['citizen' 'govern' 'involv']
involving decision makers,['decis' 'involv' 'maker']
ipcc,['ipcc']
ipcc a2,['ipcc']
ipcc a2 and b2,['ipcc']
ipcc ar5,['ipcc']
ipcc assessment,['assess' 'ipcc']
ipcc climate change scenarios,['climat' 'ipcc' 'scenario']
ipcc emission scenario,['ipcc' 'scenario']
ipcc fifth assessment report,['assess' 'ipcc' 'report']
ipcc fourth assessment report 4ar,['assess' 'ipcc' 'report']
ipcc guidelines,['ipcc']
ipcc landscape scale vulnerability framework,['framework' 'ipcc' 'landscap' 'scale' 'vulner']
ipcc projections,['ipcc' 'project']
ipcc rcps,['ipcc']
ipcc report,['ipcc' 'report']
ipcc scenarios,['ipcc' 'scenario']
ipcc special report,['ipcc' 'report' 'special']
ipcc special report on emission scenarios,['ipcc' 'report' 'scenario' 'special']
ipcc sres,['ipcc']
ipcc sres a1b,['ipcc']
ipcc sres emission scenarios,['ipcc' 'scenario']
ipsl cm5,['ipsl']
ipsl cm5a mr,['ipsl']
ipsl cma5 lr,['ipsl']
iranian farmers,['farmer']
iron,['iron']
iron intake,['intak' 'iron']
irradiance,['irradi']
irrigated,['irrig']
irrigated acreage,['acreag' 'irrig']
irrigated agriculture,['irrig']
irrigated agriculture expansion,['irrig']
irrigated and rainfed crop area,['area' 'crop' 'irrig' 'rainf']
irrigated area,['area' 'irrig']
irrigated area adjustments,['adjust' 'area' 'irrig']
irrigated areas,['area' 'irrig']
irrigated crop demand growth,['crop' 'demand' 'growth' 'irrig']
irrigated crops,['crop' 'irrig']
irrigated land,['irrig' 'land']
irrigated paddy rice,['irrig' 'paddi' 'rice']
irrigated rice yields,['irrig' 'rice' 'yield']
irrigated systems,['irrig' 'system']
irrigation,['irrig']
irrigation agriculture,['irrig']
irrigation areas,['area' 'irrig']
irrigation choice,['irrig']
irrigation demand,['demand' 'irrig']
irrigation demands,['demand' 'irrig']
irrigation dependence,['depend' 'irrig']
irrigation development,['develop' 'irrig']
irrigation districts,['district' 'irrig']
irrigation efficiency,['effici' 'irrig']
irrigation efficiency increase,['effici' 'increas' 'irrig']
irrigation expansion,['irrig']
irrigation failures,['irrig']
irrigation infrastructure,['infrastructur' 'irrig']
irrigation intensity,['irrig']
irrigation management,['irrig' 'manag']
irrigation methods,['irrig' 'method']
irrigation modernisation,['irrig' 'modernis']
irrigation practices,['irrig' 'practic']
irrigation projects,['irrig' 'project']
irrigation shortages,['irrig' 'shortag']
irrigation systems,['irrig' 'system']
irrigation technology,['irrig' 'technolog']
irrigation users,['irrig' 'user']
irrigation vulnerability,['irrig' 'vulner']
irrigation water,['irrig' 'water']
irrigation water adaptation,['adapt' 'irrig' 'water']
irrigation water availability,['avail' 'irrig' 'water']
irrigation water consumption,['consumpt' 'irrig' 'water']
irrigation water deficit,['deficit' 'irrig' 'water']
irrigation water demand,['demand' 'irrig' 'water']
irrigation water requirements,['irrig' 'requir' 'water']
irrigation water use,['irrig' 'use' 'water']
isi mip ensemble,['ensembl' 'mip']
isimip,['isimip']
island geography,['island']
isolated deep convection,['deep' 'isol']
isolated deep convection idc,['deep' 'idc' 'isol']
isolation effect,['effect' 'isol']
issues,['issu']
istituto superiore di sanita iss,['istituto' 'superior']
it infrastructure breakdown,['breakdown' 'infrastructur']
iterative inquiry,['iter']
iterative modeling,['iter' 'model']
iterative partner engagement,['engag' 'iter' 'partner']
iterative reflection and action,['action' 'iter' 'reflect']
iterative scenario planning,['iter' 'plan' 'scenario']
iwr main model,['main' 'model']
iwrm,['iwrm']
iwrm sub,['iwrm' 'sub']
iwrm vmod,['iwrm' 'vmod']
iyer et al 2017,['iyer']
jakarta spatial plan,['plan' 'spatial']
janus,['janus']
jazmourian wetland,['jazmourian' 'wetland']
jemez pueblo,['jemez' 'pueblo']
job creation,['creation' 'job']
job descriptions,['descript' 'job']
job losses,['job' 'loss']
job opportunities,['job' 'opportun']
jobs,['job']
johnstone strait,['strait']
joint flood probabilities,['flood' 'joint' 'probabl']
joint infrastructure investment,['infrastructur' 'invest' 'joint']
joint probability analysis,['joint' 'probabl']
joint probability distributions,['joint' 'probabl']
joint probability method,['joint' 'method' 'probabl']
joint research program,['joint' 'program' 'research']
joint return periods,['joint' 'period' 'return']
joint strategies,['joint' 'strategi']
jointly developed regional infrastructure,['develop' 'infrastructur' 'joint' 'region']
jordan water model,['model' 'water']
jordan's water system,['water']
jordmod,['jordmod']
journals,['journal']
juan de fuca strait,['fuca' 'strait']
jucar river basin,['basin' 'jucar' 'river']
junita river,['river']
jurisdictional fragmentation,['fragment' 'jurisdict']
jurisdictional scale,['jurisdict' 'scale']
jurisdictions,['jurisdict']
just climate change policy,['climat' 'just' 'polici']
justice,['justic']
justice integration,['integr' 'justic']
kaidu river,['river']
kakadu bininj,['kakadu']
kakadu national park,['kakadu' 'nation' 'park']
kangsabati river basin,['basin' 'river']
kappa coefficients,['coeffici' 'kappa']
karkheh river basin,['basin' 'river']
karnali river basin,['basin' 'river']
karoo zone,['zone']
